               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055497,            0.026672,             0.08078,           0.0050221,             0.77928,            0.019907,           0.0099809,            0.014042,            0.008896,            0.038745,            0.070638,           0.0032624,           0.0032624
                   1,            0.039286,            0.019858,            0.081567,           0.0043123,              0.8018,            0.021148,            0.013513,            0.018674,           0.0049863,            0.038357,            0.040627,           0.0065849,           0.0065849
                   2,            0.038029,            0.017548,              0.0792,           0.0090601,             0.82583,              0.0385,            0.031689,            0.013652,           0.0032476,            0.038399,            0.010606,           0.0098963,           0.0098963
                   3,             0.03292,            0.016838,            0.076804,           0.0072584,             0.89489,            0.033207,            0.021574,            0.012316,           0.0045052,            0.038253,           0.0099505,           0.0099505,           0.0099505
                   4,            0.030099,            0.015615,             0.07618,            0.008398,              0.8979,            0.032322,            0.025504,           0.0088116,           0.0046048,            0.037992,           0.0099505,           0.0099505,           0.0099505
                   5,            0.025974,            0.015544,            0.078488,           0.0077257,             0.93994,            0.045319,            0.034457,            0.008959,           0.0036935,            0.037935,            0.009934,            0.009934,            0.009934
                   6,            0.023966,            0.015519,            0.076544,           0.0079227,             0.95721,            0.029545,            0.021566,           0.0085787,           0.0040396,            0.037722,           0.0099175,           0.0099175,           0.0099175
                   7,            0.025329,            0.015277,            0.077488,           0.0079874,             0.95796,            0.036019,            0.024511,           0.0094597,           0.0036175,            0.037571,            0.009901,            0.009901,            0.009901
                   8,            0.026852,            0.014844,            0.075261,           0.0082676,             0.95195,            0.046499,            0.039633,           0.0094324,           0.0032191,            0.037533,           0.0098845,           0.0098845,           0.0098845
                   9,            0.023161,            0.014166,            0.075868,           0.0077538,             0.98348,             0.04422,             0.03211,           0.0096945,           0.0034247,            0.037632,            0.009868,            0.009868,            0.009868
                  10,            0.021594,            0.013648,            0.074655,           0.0084158,             0.96547,            0.043232,            0.033966,             0.00919,           0.0031534,            0.037585,           0.0098515,           0.0098515,           0.0098515
                  11,             0.02257,            0.013917,            0.073185,           0.0083632,               0.997,            0.046993,            0.034215,           0.0097422,            0.003474,            0.037656,            0.009835,            0.009835,            0.009835
                  12,            0.023506,             0.01407,            0.073941,           0.0085771,                   1,            0.046608,            0.037701,           0.0078957,           0.0031147,            0.037367,           0.0098185,           0.0098185,           0.0098185
                  13,            0.023798,            0.013538,            0.075034,           0.0084736,             0.94745,             0.03954,            0.033868,           0.0068972,            0.003172,            0.037509,            0.009802,            0.009802,            0.009802
