               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057315,            0.026574,            0.082113,           0.0049681,               0.747,            0.025901,            0.016853,             0.01349,           0.0097401,            0.038992,             0.07075,             0.00325,             0.00325
                   1,            0.038261,            0.019917,            0.078969,           0.0053605,             0.91291,            0.037147,            0.028259,            0.018527,           0.0043524,             0.03875,            0.040739,           0.0065725,           0.0065725
                   2,            0.034301,            0.016818,            0.077958,           0.0068908,             0.92643,            0.039139,            0.028326,            0.012986,            0.004416,            0.038319,            0.010717,           0.0098839,           0.0098839
                   3,            0.031299,            0.015992,            0.082013,           0.0078052,             0.91742,            0.031611,            0.021264,            0.010767,           0.0047337,            0.038224,           0.0099505,           0.0099505,           0.0099505
                   4,            0.025572,            0.015252,            0.077024,           0.0077587,             0.63664,            0.028391,             0.01411,            0.012337,           0.0047336,            0.038158,           0.0099505,           0.0099505,           0.0099505
                   5,            0.024962,            0.014223,            0.075531,           0.0075735,             0.95045,            0.033944,            0.022167,            0.011134,           0.0036606,            0.038044,            0.009934,            0.009934,            0.009934
                   6,            0.024517,             0.01455,            0.079846,           0.0079155,             0.84384,            0.041115,            0.030989,            0.011021,           0.0037675,            0.038106,           0.0099175,           0.0099175,           0.0099175
                   7,            0.021956,            0.014329,            0.079755,           0.0070527,             0.84309,            0.030971,            0.019953,            0.010051,            0.004019,            0.037949,            0.009901,            0.009901,            0.009901
                   8,            0.021296,            0.014377,            0.079086,           0.0081341,             0.98348,            0.036898,            0.024086,            0.009253,           0.0036734,            0.038025,           0.0098845,           0.0098845,           0.0098845
                   9,            0.019808,            0.013398,            0.077411,           0.0083524,             0.99249,            0.042571,            0.029433,           0.0080321,           0.0032893,             0.03785,            0.009868,            0.009868,            0.009868
                  10,            0.021871,            0.012992,            0.083324,           0.0081719,             0.98048,            0.035877,            0.028931,           0.0085702,           0.0034863,            0.037822,           0.0098515,           0.0098515,           0.0098515
                  11,            0.019786,            0.013164,            0.077002,           0.0084868,             0.97447,            0.040524,            0.030292,           0.0072303,            0.003646,             0.03777,            0.009835,            0.009835,            0.009835
                  12,            0.019328,             0.01262,            0.080534,           0.0086659,             0.99249,            0.043296,            0.034105,            0.008546,           0.0030168,            0.037812,           0.0098185,           0.0098185,           0.0098185
                  13,            0.020261,            0.013237,            0.079354,           0.0085217,              0.9955,            0.053996,            0.042961,           0.0066129,           0.0031302,            0.037774,            0.009802,            0.009802,            0.009802
                  14,            0.019336,            0.012611,            0.076866,           0.0088672,              0.9955,            0.044274,            0.034065,           0.0063768,           0.0030153,            0.037765,           0.0097855,           0.0097855,           0.0097855
                  15,            0.020029,            0.012526,            0.079862,           0.0084732,             0.99099,            0.046186,            0.037675,           0.0061616,           0.0029156,             0.03776,            0.009769,            0.009769,            0.009769
                  16,            0.017974,            0.012425,            0.077474,           0.0085411,             0.95045,            0.046909,            0.034897,           0.0062742,           0.0032313,            0.037779,           0.0097525,           0.0097525,           0.0097525
                  17,            0.017039,            0.011884,            0.077836,           0.0087107,             0.99249,            0.040565,            0.033661,           0.0073965,           0.0027636,            0.037826,            0.009736,            0.009736,            0.009736
                  18,            0.016246,            0.011899,            0.077108,           0.0085837,             0.98348,            0.037378,            0.030482,           0.0071628,           0.0030854,            0.037822,           0.0097195,           0.0097195,           0.0097195
                  19,            0.015858,             0.01243,            0.075954,           0.0086482,             0.98348,            0.046195,            0.036059,           0.0068406,           0.0030755,            0.037774,            0.009703,            0.009703,            0.009703
                  20,            0.015562,            0.011474,            0.076871,           0.0087177,               0.997,             0.04702,            0.040724,           0.0058231,           0.0029295,            0.037779,           0.0096865,           0.0096865,           0.0096865
                  21,            0.015887,            0.011783,            0.076489,           0.0087159,             0.99249,              0.0522,            0.041737,           0.0074457,            0.002899,            0.037841,             0.00967,             0.00967,             0.00967
                  22,            0.016271,            0.011597,            0.078486,             0.00864,             0.99399,            0.045323,            0.034355,           0.0083717,           0.0029696,            0.037826,           0.0096535,           0.0096535,           0.0096535
                  23,            0.015132,              0.0111,             0.07592,           0.0087868,               0.997,            0.050026,            0.039752,           0.0066434,           0.0028403,            0.037826,            0.009637,            0.009637,            0.009637
                  24,            0.015499,            0.011248,            0.076597,           0.0086923,               0.997,            0.049165,            0.038956,           0.0075423,           0.0027493,            0.037784,           0.0096205,           0.0096205,           0.0096205
                  25,            0.015563,            0.011033,             0.07668,           0.0087794,                   1,            0.047003,            0.036008,           0.0059307,           0.0028967,            0.037784,            0.009604,            0.009604,            0.009604
                  26,            0.016802,            0.011175,             0.07868,            0.008517,              0.9955,            0.044471,            0.038045,           0.0054694,           0.0028485,            0.037765,           0.0095875,           0.0095875,           0.0095875
