                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93639,                 5.2869,                 1.5525,                0.00444,                0.40541,                 0.0264,                0.02258,                0.64325,                 4.7517,                 1.4092,             2.1215e-05,             2.1215e-05,             2.1215e-05
                      2,                0.69964,                 4.5584,                 1.3844,                0.00797,                0.62688,                0.05896,                 0.0517,                0.63847,                 4.0908,                 1.4045,             4.2811e-05,             4.2811e-05,             4.2811e-05
                      3,                0.69695,                 4.0751,                 1.3588,                0.56098,                0.10311,                0.10151,                0.08753,                0.66993,                 4.0482,                 1.4296,             6.4336e-05,             6.4336e-05,             6.4336e-05
                      4,                0.67903,                  3.664,                 1.3226,                0.35146,                 0.2261,                0.17496,                0.15267,                0.66278,                 3.7413,                 1.4144,             6.4678e-05,             6.4678e-05,             6.4678e-05
                      5,                0.66478,                 3.3034,                 1.3153,                0.52758,                0.22966,                0.26916,                0.22716,                0.71614,                 3.3636,                 1.4602,             6.4678e-05,             6.4678e-05,             6.4678e-05
                      6,                0.64608,                  2.947,                  1.303,                0.47348,                 0.2691,                 0.3137,                0.27541,                0.65798,                 2.9317,                 1.3832,             6.4571e-05,             6.4571e-05,             6.4571e-05
                      7,                0.64769,                 2.6555,                 1.2995,                0.60511,                0.33687,                0.43374,                0.37304,                0.67085,                 2.7893,                 1.4101,             6.4464e-05,             6.4464e-05,             6.4464e-05
                      8,                0.62249,                 2.3938,                 1.2678,                0.43851,                0.48008,                0.51695,                0.44925,                 0.6368,                 2.5118,                 1.3836,             6.4356e-05,             6.4356e-05,             6.4356e-05
                      9,                0.62441,                 2.1483,                 1.2564,                0.60199,                0.47155,                0.54694,                0.47732,                0.63483,                 2.2544,                 1.3632,             6.4249e-05,             6.4249e-05,             6.4249e-05
                     10,                0.61929,                 1.9834,                 1.2591,                0.53102,                0.52259,                0.60378,                0.50593,                0.67513,                 2.2305,                 1.3764,             6.4142e-05,             6.4142e-05,             6.4142e-05
                     11,                0.58375,                 1.8305,                  1.233,                0.54768,                0.57316,                 0.6657,                0.56557,                0.67261,                 1.9983,                 1.4612,             6.4035e-05,             6.4035e-05,             6.4035e-05
                     12,                0.57177,                 1.7386,                 1.2434,                0.57825,                0.57577,                0.65969,                 0.5761,                0.64389,                 1.9588,                 1.3547,             6.3927e-05,             6.3927e-05,             6.3927e-05
                     13,                0.58162,                 1.6484,                 1.2307,                0.55496,                0.67494,                0.73967,                0.64384,                0.63308,                 1.7016,                 1.3397,              6.382e-05,              6.382e-05,              6.382e-05
                     14,                0.58698,                 1.4696,                  1.226,                 0.6416,                0.63097,                0.75317,                0.67232,                0.57942,                 1.6375,                 1.2834,             6.3713e-05,             6.3713e-05,             6.3713e-05
                     15,                0.58757,                 1.4566,                 1.2313,                0.61169,                0.70062,                0.75841,                 0.6741,                0.59426,                 1.5427,                 1.3007,             6.3606e-05,             6.3606e-05,             6.3606e-05
                     16,                0.54162,                 1.3897,                 1.2011,                0.62566,                0.68125,                 0.7538,                0.65501,                0.62731,                 1.7543,                  1.353,             6.3498e-05,             6.3498e-05,             6.3498e-05
                     17,                0.53084,                 1.2948,                 1.1986,                0.61982,                0.71065,                 0.7913,                0.69144,                0.61967,                 1.5494,                 1.3334,             6.3391e-05,             6.3391e-05,             6.3391e-05
                     18,                0.54228,                 1.2381,                 1.2008,                0.66305,                0.68165,                0.79145,                0.68618,                0.69027,                 1.5001,                  1.423,             6.3284e-05,             6.3284e-05,             6.3284e-05
                     19,                0.55152,                 1.2131,                 1.1859,                0.72195,                0.61941,                0.78964,                0.69971,                0.62144,                 1.5438,                 1.3881,             6.3177e-05,             6.3177e-05,             6.3177e-05
                     20,                0.53611,                 1.1891,                 1.1866,                0.59942,                0.70618,                0.79235,                0.69284,                0.63102,                 1.4975,                  1.376,             6.3069e-05,             6.3069e-05,             6.3069e-05
                     21,                0.52411,                 1.1212,                 1.1829,                0.61601,                0.75319,                0.80455,                0.71278,                0.60986,                  1.389,                 1.3364,             6.2962e-05,             6.2962e-05,             6.2962e-05
                     22,                0.52055,                 1.0816,                 1.1671,                0.63882,                0.69682,                0.78571,                0.69282,                0.61134,                  1.539,                 1.3291,             6.2855e-05,             6.2855e-05,             6.2855e-05
                     23,                0.50999,                 1.0345,                 1.1593,                0.62939,                0.74094,                0.82064,                0.72198,                 0.6291,                 1.3979,                 1.3537,             6.2748e-05,             6.2748e-05,             6.2748e-05
